id,sloka,translation,
801,kaṭukoṣṇavidāhyamlakṣārāṇāmatisevanam |  pittakāsakaraṃ krodhaḥ santāpaścāgnisūryajaḥ ||14||  pītaniṣṭhīvanākṣitvaṃ tiktāsyatvaṃ svarāmayaḥ |  urodhūmāyanaṃ tṛṣṇā dāho moho'rucirbhramaḥ ||15||  pratataṃ kāsamānaśca jyotīṃṣīva ca paśyati |  śleṣmāṇaṃ pittasaṃsṛṣṭaṃ niṣṭhīvati ca paittike ||16||,"The lack of astringent, sour, salty, and warm food causes the bodily humors to become imbalanced: roughness originating from Vata, intense heat from fire, mucus from Kapha, and bile from Pitta. These manifest as harsh speech, anger causing pain, phlegm, and imbalance in the body. When one abstains from sweet, sour, and salty foods and instead consumes astringent, bitter, and pungent food, the bodily humors return to their natural state. Excessive consumption of light and dry food leads to a Vata imbalance, while an abundance of heavy and oily food results in Kapha dominance. An overindulgence in hot, spicy, and sour foods disrupts Pitta. As the humors become balanced, the body becomes healthy, the senses become clear, and the mind finds peace.",
802,gurvabhiṣyandimadhurasnigdhasvapnāviceṣṭanaiḥ |  vṛddhaḥ śleṣmā'nilaṃ ruddhvā kaphakāsaṃ karoti hi ||17||  mandāgnitvārucicchardipīnasotkleśagauravaiḥ |  lomaharṣāsyamādhuryakledasaṃsadanairyutam ||18||  bahulaṃ madhuraṃ snigdhaṃ niṣṭhīvati ghanaṃ kapham |  kāsamāno hyarug vakṣaḥ sampūrṇamiva manyate ||19||,"Consuming excessively pungent, hot, sharp, sour, and salty substances causes an increase in bile, which leads to cough, anger, and inflammation. A person with weak digestive fire, poor complexion, and excessive thirst, sweating, and burning sensation also suffers from similar symptoms. When phlegm is increased due to the consumption of unctuous, sweet, and salty foods or when it is naturally secreted, a person may feel heavy in the chest, as if it is full, and experience confusion and dizziness. The stars seem to twinkle before the eyes, and phlegm is expelled from the nose and mouth. (17-19)

The translation is based on the given word split and the general meanings of the words. However, the verse seems to be a part of a larger medical text that describes the symptoms of an imbalance in the bodily humors (doshas). The identification of specific substances or foods mentioned in the verse would require additional context or information.",
803,ativyavāyabhārādhvayuddhāśvagajavigrahaiḥ |  rūkṣasyoraḥ kṣataṃ vāyurgṛhītvā kāsamāvahet ||20||,"Becoming afflicted with the excessive indulgence in sexual activity, horse and elephant fights, the old and overweight one, who is blocked by phlegm, causes vomiting, thirst, nasal discharge, and physical impurity, generates an abundance of thick phlegm, resembling a swollen chest.",
804,sa pūrvaṃ kāsate śuṣkaṃ tataḥ ṣṭhīvet saśoṇitam |  kaṇṭhena rujatā'tyarthaṃ virugṇeneva corasā ||21||  sūcībhiriva tīkṣṇābhistudyamānena śūlinā |  duḥkhasparśena śūlena bhedapīḍābhitāpinā ||22||,"Exceeding the bounds of propriety, a burden to himself and others, like a dry tree that stands in the path, such is the one who is afflicted by unrighteous desires. With sharp instruments, like a butcher who pierces the vital organs of an elephant or a bull, so does he torment himself through his own wicked actions. (21-22)

Note: The word ""ati"" means ""exceeding"" and ""vyavaya"" means ""sexual intercourse"". This combined meaning has been used in the translation. Similarly, ""bhara"" means ""burden"", ""adhva"" means ""path"", ""yut"" means ""standing"", ""dhah"" means ""like"", ""gaja"" means ""elephant"", ""vigrahaih"" means ""organs"", ""rukshasya"" means ""dry"", ""urasah"" means ""chest"", ""ksatam"" means ""wounded"", ""vayuh"" means ""air"", ""grihitva"" means ""held"", ""kamsam"" means ""meat"", ""avahet"" means ""takes"". These meanings have been used in the translation. The words ""dhah"", ""gaja"", and ""vigrahaih"" are not translated as they do not add any further meaning to the translation.",
805,parvabhedajvaraśvāsatṛṣṇāvaisvaryapīḍitaḥ |  pārāvata ivākūjan kāsavegātkṣatodbhavāt ||23||,"Previously dry, now pierced by a sharp weapon at his throat, blood gushes and flows; resembling a cloud, he is tormented by the burning sensation caused by the separating of the mountain's parts.",
806,viṣamāsātmyabhojyātivyavāyādveganigrahāt |  ghṛṇināṃ śocatāṃ nṝṇāṃ vyāpanne'gnau trayo malāḥ ||24||,"The three impurities of fever, dyspnea, and thirst, caused by a separation from the appropriate time for eating, overindulgence, suppression of natural urges, and exertion, trouble those who are compassionate.",
807,kupitāḥ kṣayajaṃ kāsaṃ kuryurdehakṣayapradam |  durgandhaṃ haritaṃ raktaṃ ṣṭhīvet pūyopamaṃ kapham ||25||  sthānādutkāsamānaśca hṛdayaṃ manyate cyutam |  akasmāduṣṇaśītārto bahvāśī durbalaḥ kṛśaḥ ||26||  snigdhācchamukhavarṇatvak śrīmaddarśanalocanaḥ |  pāṇipādatalaiḥ ślakṣṇaiḥ satatāsūyako ghṛṇī ||27||  jvaro miśrākṛtistasya pārśvaruk pīnaso'ruciḥ |  bhinnasaṃhatavarcastvaṃ svarabhedo'nimittataḥ ||28||,"Due to uneven digestion caused by improper eating habits , excessive indulgence in sexual activities , and suppression of natural urges , some people may experience disgust and sorrow among the masses . This is due to the accumulation of undigested food in the digestive system, which can lead to various symptoms such as foul-smelling stools , loose stools , bloody stools , and mucus in the stools . Other symptoms may include feeling heavy in the stomach , thinking that the heart is sinking , feeling thirsty even after drinking water , emaciation , and oily or sticky stools . Additionally, symptoms such as fever , foul odor , and irregular breathing sounds may also be present.",
808,ityeṣa kṣayajaḥ kāsaḥ kṣīṇānāṃ dehanāśanaḥ |  sādhyo balavatāṃ vā syādyāpyastvevaṃ kṣatotthitaḥ ||29||  navau kadācit sidhyetāmetau pādaguṇānvitau |  sthavirāṇāṃ jarākāsaḥ sarvo yāpyaḥ prakīrtitaḥ ||30||,"The angry one who causes decay, what is this Kasa (a type of cough) that brings forth a foul smell, turns the color of the face yellowish-green, and dries up the body? It is said to be a natural affliction for the old, affecting their vision, complexion, strength, and balance. Its various forms, mixed with jvara (fever), are often found in weak and emaciated persons, causing distress with its unsteady and changing appearance, affecting the luster of the body, the clarity of the eyes, and the color of the sides, face, and complexion. What is this, O Tamasa (darkness), that arises from the distinction of your vocal vibrations?",
809,trīnsādhyānsādhayetpūrvān pathyairyāpyāṃśca yāpayet |  cikitsāmata ūrdhvaṃ tu śṛṇu kāsanibarhiṇīm ||31||,"""Having accomplished the three main duties prior, let one also perform the remaining ones. Now listen, I will tell you about medicine that uplifts and eliminates the decay of the body in the elderly. The one who is powerful can achieve this.""",
810,rūkṣasyānilajaṃ kāsamādau snehairupācaret |  sarpirbhirbastibhiḥ peyāyūṣakṣīrarasādibhiḥ ||32||  vātaghnasiddhaiḥ snehādyairdhūmairlehaiśca yuktitaḥ |  abhyaṅgaiḥ pariṣekaiśca snigdhaiḥ svedaiśca buddhimān ||33||  bastibhirbaddhaviḍvātaṃ śuṣkordhvaṃ cordhvabhaktikaiḥ |  ghṛtaiḥ sapittaṃ sakaphaṃ jayet snehavirecanaiḥ ||34||,"One should properly care for the dry earth's crevices using moisturizing agents such as sweat, oils, and appropriate liquids; this is considered therapeutic. Furthermore, listen carefully to my advice on how to treat the fissures of the earth that extend upward.",
811,kaṇṭakārīguḍūcībhyāṃ pṛthak triṃśatpalādrase |  prasthaḥ siddho ghṛtādvātakāsanudvahnidīpanaḥ ||35||  iti kaṇṭakārīghṛtam |,"A wise person should apply separately, using thirty palmfuls of oil, a mixture of oils that counteracts the drying wind, with herbs, fats, and the residue of ghee, along with smoke and heat, for anointing, bathing, and sweating, in order to conquer phlegm and bile, and to alleviate vata with warm, unctuous ointments.",
812,pippalīpippalīmūlacavyacitrakanāgaraiḥ |  dhānyapāṭhāvacārāsnāyaṣṭyāhvakṣārahiṅgubhiḥ ||36||  kolamātrairghṛtaprasthāddaśamūlīrasāḍhake |  siddhāccaturthikāṃ pītvā peyāmaṇḍaṃ pibedanu ||37||  tacchvāsakāsahṛtpārśvagrahaṇīdoṣagulmanut |  pippalyādyaṃ ghṛtaṃ caitadātreyeṇa prakīrtitam ||38||  iti pippalyādighṛtam |,"Consuming, for thirty palas, separately, from guduchi, the resin of arjuna and kaṇṭaka, clarified butter, siddha, when taken in a prastha measure, with rase, vata, kāsa, and dīpana nut, is known as ghṛta in this context, beginning with pippali.",
813,tryūṣaṇaṃ triphalāṃ drākṣāṃ kāśmaryāṇi parūṣakam |  dve pāṭhe devadārvṛddhiṃ svaguptāṃ citrakaṃ śaṭīm ||39||  brāhmīṃ tāmalakīṃ medāṃ kākanāsāṃ śatāvarīm |  trikaṇṭakaṃ vidārīṃ ca piṣṭvā karṣasamaṃ ghṛtāt ||40||  prasthaṃ caturguṇe kṣīre siddhaṃ kāsaharaṃ pibet |  jvaragulmāruciplīhaśirohṛtpārśvaśūlanut ||41||  kāmalārśo'nilāṣṭhīlākṣataśoṣakṣayāpaham |  tryūṣaṇaṃ nāma vikhyātametaddhṛtamanuttamam ||42||  iti tryūṣaṇādyaṃ ghṛtam |,"Consuming, along with Pippali and its root, Cavya, Citraka, Nagara herbs, grains, and the powder of",
814,droṇe'pāṃ sādhayedrāsnāṃ daśamūlīṃ śatāvarīm |  palikāṃ māṇikāṃśāṃstu kulatthānbadarānyavān ||43||  tulārdhaṃ cājamāṃsasya pādaśeṣeṇa tena ca |  ghṛtāḍhakaṃ samakṣīraṃ jīvanīyaiḥ palonmitaiḥ ||44||  siddhaṃ taddaśabhiḥ kalkairnasyapānānuvāsanaiḥ |  samīkṣya vātarogeṣu yathāvasthaṃ prayojayet ||45||  pañcakāsān śiraḥkampaṃ śūlaṃ vaṅkṣaṇayonijam |  sarvāṅgaikāṅgarogāṃśca saplīhordhvānilāñjayet ||46||  iti rāsnāghṛtam |,"Take three handfuls of drākṣā fruit, two of devadāru wood, one each of śatavarī, kāka, medā, nāsāpātra, and śatāvarī roots, all pulverized together with aśmarī stone, ṛddhi tree bark, gupta citraka, brāhmī, tāmalakī, vidārī, kaṇṭaka, and parūṣaka fruits. Mix this powder with one-fourth of a prastha of ghṛta, two guṇas each of kṣīra and siddha haritakī powder, and the named anuttamam tryuṣaṇa. This is to be consumed as a medicine for diarrhea, jvara, gulma, aruci, plīha, śiraḥgranthi, hṛtroga, pārśvaplīha, and śūlvrikka conditions. These treatments should be applied according to the patient's needs in cases of vātaroga.",
815,viḍaṅgaṃ nāgaraṃ rāsnā pippalī hiṅgu saindhavam |  bhārgī kṣāraśca taccūrṇaṃ pibedvā ghṛtamātrayā ||47||  sakaphe'nilaje kāse śvāsahikkāhatāgniṣu |  dvau kṣārau pañcakolāni pañcaiva lavaṇāni ca ||48||  śaṭīnāgarakodīcyakalkaṃ vā vastragālitam |  pāyayeta ghṛtonmiśraṃ vātakāsanibarhaṇam ||49||  durālabhāṃ śaṭīṃ drākṣāṃ śṛṅgaveraṃ sitopalām |  lihyāt karkaṭaśṛṅgīṃ ca kāse tailena vātaje ||50||  duḥsparśāṃ pippalīṃ mustaṃ bhārgīṃ karkaṭakīṃ śaṭīm |  purāṇaguḍatailābhyāṃ cūrṇitaṃ vā'pi lehayet ||51||  viḍaṅgaṃ saindhavaṃ kuṣṭhaṃ vyoṣaṃ hiṅgu manaḥśilām |  madhusarpiryutaṃ kāsahikkāśvāsaṃ jayellihan ||52||,"In the Drona preparation, using a tenth of the juices of",
816,citrakaṃ pippalīmūlaṃ vyoṣaṃ hiṅgu durālabhām |  śaṭīṃ puṣkaramūlaṃ ca śreyasīṃ surasāṃ vacām ||53||  bhārgīṃ chinnaruhāṃ rāsnāṃ śṛṅgīṃ drākṣāṃ ca kārṣikān |  kalkānardhatulākvāthe nidigdhyāḥ palaviṃśatim ||54||  dattvā matsyaṇḍikāyāśca ghṛtācca kuḍavaṃ pacet |  siddhaṃ śītaṃ pṛthak kṣaudrapippalīkuḍavānvitam ||55||  catuṣpalaṃ tugākṣīryāścūrṇitaṃ tatra dāpayet |  lehayet kāsahṛdrogaśvāsagulmanivāraṇam ||56||  iti citrakādilehaḥ |,"Take well-ground black salt, long pepper, rock salt, barley, horse gram, two types of kshaara, five kinds of kolani, all mixed with water that has been sipped through a piece of cloth. Add this to the pippalii, musta, bhargi, and karkataki plants, along with an old guda, smeared with taila and also ground into a powder. Apply this mixture to alleviate vata-kasa, hikka, durable itching, and other skin diseases. Use a cooling upalaa for the application on the karkata-shringi plant, which is known for its spiky touch. Mix madhu and sarpih to create a paste and apply it on the body part affected by kushtam. Consume pippalii mixed with ghee and matsya-andika, prepared with ghee and milk, to achieve success in this process.",
817,daśamūlīṃ svayaṅguptāṃ śaṅkhapuṣpīṃ śaṭīṃ balām |  hastipippalyapāmārgapippalīmūlacitrakān ||57||  bhārgīṃ puṣkaramūlaṃ ca dvipalāṃśaṃ yavāḍhakam |  harītakīśataṃ caikaṃ jale pañcāḍhake pacet ||58||  yavaiḥ svinnaiḥ kaṣāyaṃ taṃ pūtaṃ taccābhayāśatam |  pacedguḍatulāṃ dattvā kuḍavaṃ ca pṛthagghṛtāt ||59||  tailāt sapippalīcūrṇāt siddhaśīte ca mākṣikāt |  lihyāddve cābhaye nityamataḥ khādedrasāyanāt ||60||  tadvalīpalitaṃ hanti varṇāyurbalavardhanam |  pañcakāsān kṣayaṃ śvāsaṃ hikkāṃ ca viṣamajvaram ||61|| hanyāttathā'rśograhaṇīhṛdrogārucipīnasān |  agastyavihitaṃ śreṣṭhaṃ rasāyanamidaṃ śubham ||62||  ityagastyaharītakī |,"Cook with oil, a fifteenth part of a pala, added to a potion made from the following ingredients: the roots of Citraka and Pippali, which are hard to find, Shatii, Puшкаra, Surasaa, Bhargi, chopped; the fruits of Hingu, Drakshaa, Karkarika, and Ardha-tulaa;",
818,saindhavaṃ pippalīṃ bhārgīṃ śṛṅgaveraṃ durālabhām |  dāḍimāmlena koṣṇena bhārgīnāgaramambunā ||63||  pibet khadirasāraṃ vā madirādadhimastubhiḥ |  athavā pippalīkalkaṃ ghṛtabhṛṣṭaṃ sasaindhavam ||64||,"One should cook gupta variety of dashamula, shankapushpi, shati, bala, hastipippali, pippalyaparma, pippalimoola, citraka, bhargi, pushkara, mula, along with haritaki, one sixth of it mixed with water and cooked with svinna yava; after removing impurities, this is made pure by adding a measure of guda, tula, offered separately, then mixed with ghee and sesame oil, or with pippalicurna; this siddha, when taken regularly at night and morning, will eliminate the five types of afflictions such as hikka, jwara, etc., as well as grahanidurcika diseases, and enhance complexion, longevity, and strength. This is the best rasayana, prescribed by Agastya, for all ailments.",
819,śirasaḥ pīḍane srāve nāsāyā hṛdi tāmyati |  kāsapratiśyāyavatāṃ dhūmaṃ vaidyaḥ prayojayet ||65||  daśāṅgulonmitāṃ nāḍīmathavā'ṣṭāṅgulonmitām |  śarāvasampuṭacchidre kṛtvā jihmāṃ vicakṣaṇaḥ ||66||  vairecanaṃ mukhenaiva kāsavān dhūmamāpibet |  tamuraḥ kevalaṃ prāptaṃ mukhenaivodvamet punaḥ ||67||  sa hyasya taikṣṇyādvicchidya śleṣmāṇamurasi sthitam |  niṣkṛṣya śamayet kāsaṃ vātaśleṣmasamudbhavam ||68||,"With a mixture of Saindhava, Pippali, Bhargi, Srnga, Vera, Duralabha Dadima, and Amlena, one should drink (pibet) the essence (saram) of Khadira, or instead, with Madira, Dadhi, Mastu, or ghrita. This, having crushed (bhristam) it, is beneficial for those who have difficulty breathing (kasa), as it removes phlegm (slesmana) accumulated in the throat (sthitam urasi) and pacifies the wind-born Kasa disorder.",
820,manaḥśilālamadhukamāṃsīmusteṅgudaiḥ pibet |  dhūmaṃ tasyānu ca kṣīraṃ sukhoṣṇaṃ saguḍaṃ pibet ||69||  eṣa kāsān pṛthagdoṣasannipātasamudbhavān |  dhūmo hanyādasaṃsiddhānanyairyogaśatairapi ||70||  prapauṇḍarīkaṃ madhukaṃ śārṅgeṣṭāṃ samanaḥśilām |  maricaṃ pippalīṃ drākṣāmelāṃ surasamañjarīm ||71||  kṛtvā vartiṃ pibeddhūmaṃ kṣaumacelānuvartitām |  ghṛtāktāmanu ca kṣīraṃ guḍodakamathāpi vā ||72||  manaḥśilailāmaricakṣārāñjanakuṭannaṭaiḥ |  vaṃśalekhanasevyālakṣaumalaktakarohiṣaiḥ ||73||  pūrvakalpena dhūmo'yaṃ sānupāno vidhīyate |  manaḥśilāle tadvacca pippalīnāgaraiḥ saha ||74||  tvagaiṅgudī bṛhatyau dve tālamūlī manaḥśilā |  kārpāsāsthyaśvagandhā ca dhūmaḥ kāsavināśanaḥ ||75||,"With a balanced mind, the wise physician should apply smoke to the nostrils, ears, and heart through a thin tube in the nasal passage or a pipe with eight holes. This smoke treatment, derived from kāśa (a type of grass), alleviates various disorders caused by an imbalance of bodily humors such as phlegm and wind. It can be administered via the head or chest, depending on the specific condition. The practitioner should ensure proper placement and gentle release of smoke to avoid any discomfort or harm. This method has been used in ancient Indian medicine for various ailments with great success. (verses 69-75)

Inhale with the mind focused on the smoke of kāśa, mixed with ghee or water, through narrow openings in the head and chest. This helps to eliminate impurities in the mind and body, including phlegm and wind-related issues. The process involves using a pipe with eight holes or a thin tube inserted into the nasal passage. The smoke should be administered gently and skillfully to avoid any discomfort. By following this practice, one can eliminate various disorders caused by an imbalance of bodily humors, thereby promoting overall health and well-being. (verses 72-75)",
821,grāmyānūpaudakaiḥ śāliyavagodhūmaṣaṣṭikān |  rasairmāṣātmaguptānāṃ yūṣairvā bhojayeddhitān ||76||  yavānīpippalībilvamadhyanāgaracitrakaiḥ |  rāsnājājīpṛthakparṇīpalāśaśaṭipauṣkaraiḥ ||77||  snigdhāmlalavaṇāṃ siddhāṃ peyāmanilaje pibet |  kaṭīhṛtpārśvakoṣṭhārtiśvāsahikkāpraṇāśinīm ||78||  daśamūlarase tadvatpañcakolaguḍānvitām |  siddhāṃ samatilāṃ dadyātkṣīre vā'pi sasaindhavām ||79|| mātsyakaukkuṭavārāhairāmiṣairvā ghṛtānvitām |  siddhāṃ sasaindhavāṃ peyāṃ vātakāsī pibennaraḥ ||80||  vāstuko vāyasīśākaṃ mūlakaṃ suniṣaṇṇakam |  snehāstailādayo bhakṣyāḥ kṣīrekṣurasagauḍikāḥ ||81||  dadhyāranālāmlaphalaprasannāpānameva ca |  śasyate vātakāse tu svādvamlalavaṇāni ca ||82||  iti vātakāsacikitsā |,"The mind should drink the honey of the following substances that are properly prepared and free from impurities , which destroy unsatisfactory results even if they are associated with smoke : kşīra, sukha, uṣna, sa, guḍa; these very foods , each treated with kšauma, celānu, and various seasonings such as vaṃśalekhana, sevyālakṣaumalaktakaroḥiṣaiḥ; this is the method of preparation followed in previous kalpa. Similarly , pippalī and nāgara fruits, tvagāingudī, bṛhatyau, dve tālamūlī, kārpāsa, asthi, aśva, gandhā, and kāsa should be prepared without aśana. Also, , matsya, kaukkuṭa, vārāha, āmiṣaiḥ, and ghṛta should be properly made for drinking . Additionally, śilā, āla, musta, iṅgudaiḥ, madhuka, maricam, pippalī, drākṣām, elām, surasa, and mañjarīm can be eaten with dadhyāra, nālā, amlaphala, prasanna, āpāna, and eva; vātakāsa is cured by consuming these foods .",
822,paittike sakaphe kāse vamanaṃ sarpiṣā hitam |  tathā madanakāśmaryamadhukakvathitairjalaiḥ ||83||  yaṣṭyāhvaphalakalkairvā vidārīkṣurasāyutaiḥ |  hṛtadoṣastataḥ śītaṃ madhuraṃ ca kramaṃ bhajet ||84||,"In the domestic sphere, one should eat rice cooked with barley, wheat, gram, and peas; as well as sesame seeds, honey, and goat's milk mixed with salt, ghee, and various spices such as nagara, citraka, rasna, ajaji, pṛthakparṇī, patāla, and palāśa. This diet is beneficial for the healthy functioning of the body, eliminating impurities, alleviating vata, and reducing fatigue. It also enhances the taste of food, making it sweet, sour, and salty.

In addition to this, one should consume fresh fruits such as mūlaka, suniṣaṇṇaka, sneha, elā, ayaḥ, along with kṣīra, ikṣu rasa, gauḍikā, dadhi, āra, nāla phala. This diet is recommended for maintaining good health and treating diseases (kāsa cikitsā).

In essence, consuming a balanced and nutritious diet in moderate quantities, using fresh and wholesome ingredients, will promote health, strength, and longevity.",
823,paitte tanukaphe kāse trivṛtāṃ madhurairyutām |  dadyādghanakaphe tiktairvirekārthe yutāṃ bhiṣak ||85||,"In the case of poisoning, the healer should administer to the patient a potion made from ghee, butter, and sugarcane juice, mixed with medicinal powders such as vidāra, ikṣu, and kalka, in order to remove the toxins. Then, one should gradually introduce sweet and cool substances.",
824,snigdhaśītastanukaphe rūkṣaśītaḥ kaphe ghane |  kramaḥ kāryaḥ paraṃ bhojyaiḥ snehairlehaiśca śasyate ||86||  śṛṅgāṭakaṃ padmabījaṃ nīlīsārāṇi pippalī |  pippalīmustayaṣṭyāhvadrākṣāmūrvāmahauṣadham ||87|| lājā'mṛtaphalā drākṣā tvakkṣīrī pippalī sitā |  pippalīpadmakadrākṣā bṛhatyāśca phalādrasaḥ ||88||  kharjūraṃ pippalī vāṃśī śvadaṃṣṭrā ceti pañca te |  ghṛtakṣaudrayutā lehāḥ ślokārdhaiḥ pittakāsinām ||89||  śarkarācandanadrākṣāmadhudhātrīphalotpalaiḥ |  paitte samustamaricaḥ sakaphe saghṛto'nile ||90||  mṛdvīkārdhaśataṃ triṃśatpippalīḥ śarkarāpalam |  lehayenmadhunā gorvā kṣīrapaṃ ca śakṛdrasam ||91||  tvagelāvyoṣamṛdvīkāpippalīmūlapauṣkaraiḥ |  lājāmustaśaṭīrāsnādhātrīphalabibhītakaiḥ ||92||  śarkarākṣaudrasarpirbhirlehaḥ kāsavināśanaḥ |  śvāsaṃ hikkāṃ kṣayaṃ caiva hṛdrogaṃ ca praṇāśayet ||93||  pippalyāmalakaṃ drākṣāṃ lākṣāṃ lājāṃ sitopalām |  kṣīre paktvā ghanaṃ śītaṃ lihyāt kṣaudrāṣṭabhāgikam ||94||  vidārīkṣumṛṇālānāṃ rasān kṣīraṃ sitopalām |  pibedvā madhusaṃyuktaṃ pittakāsaharaṃ param ||95||  madhurairjāṅgalarasaiḥ śyāmākayavakodravāḥ |  mudgādiyūṣaiḥ śākaiśca tiktakairmātrayā hitāḥ ||96||  ghanaśleṣmaṇi lehāstu tiktakā madhusaṃyutāḥ |  śālayaḥ syustanukaphe ṣaṣṭikāśca rasādibhiḥ ||97||  śarkarāmbho'nupānārthaṃ drākṣekṣūṇāṃ rasāḥ payaḥ |  sarvaṃ ca madhuraṃ śītamavidāhi praśasyate ||98||  kākolībṛhatīmedāyugmaiḥ savṛṣanāgaraiḥ |  pittakāse rasān kṣīraṃ yūṣāṃścāpyupakalpayet ||99||  śarādipañcamūlasya pippalīdrākṣayostathā |  kaṣāyeṇa śṛtaṃ kṣīraṃ pibet samadhuśarkaram ||100||  sthirāsitāpṛśniparṇīśrāvaṇībṛhatīyugaiḥ |  jīvakarṣabhakākolītāmalakyṛddhijīvakaiḥ ||101||  śṛtaṃ payaḥ pibet kāsī jvarī dāhī kṣatakṣayī |  tajjaṃ vā sādhayet sarpiḥ sakṣīrekṣurasaṃ bhiṣak ||102||  jīvakādyairmadhurakaiḥ phalaiścābhiṣukādibhiḥ |  kalkaistrikārṣikaiḥ siddhe pūtaśīte pradāpayet ||103||  śarkarāpippalīcūrṇaṃ tvakkṣīryā maricasya ca |  śṛṅgāṭakasya cāvāpya kṣaudragarbhānpalonmitān ||104||  guḍān godhūmacūrṇena kṛtvā khādeddhitāśanaḥ |  śukrāsṛgdoṣaśoṣeṣu kāse kṣīṇakṣateṣu ca ||105||  śarkarānāgarodīcyaṃ kaṇṭakārīṃ śaṭīṃ samam |  piṣṭvā rasaṃ pibetpūtaṃ vastreṇa ghṛtamūrcchitam ||106||  mahiṣyajāvigokṣīradhātrīphalarasaiḥ samaiḥ |  sarpiḥ siddhaṃ pibedyuktyā pittakāsanibarhaṇam ||107||  iti pittakāsacikitsā |,"""For the emaciated, who is weakened due to an excess of bodily fluids, one should give a medicinal concoction containing sugar, made from well-cooked rice flour and mixed with honey and liquorice.""",
825,balinaṃ vamanairādau śodhitaṃ kaphakāsinam |  yavānnaiḥ kaṭūrūkṣoṣṇaiḥ kaphaghnaiścāpyupācaret ||108||  pippalīkṣārikairyuṣaiḥ kaulatthairmūlakasya ca |  laghūnyannāni bhuñjīta rasairvā kaṭukānvitaiḥ ||109||  dhānvabailarasaiḥ snehaistilasarṣapabilvajaiḥ |  madhvamloṣṇāmbutakraṃ vā madyaṃ vā nigadaṃ pibet ||110||  pauṣkarāragvadhaṃ mūlaṃ paṭolaṃ tairniśāsthitam |  jalaṃ madhuyutaṃ peyaṃ kāleṣvannasya vā triṣu ||111||,"For a person afflicted by phlegm-related ailments, the following is recommended: consume at the beginning of the season, in increasing quantities, foods such as bitter and astringent pomegranates, myrobalans, dry ginger, dry saffron, and light foods processed with clarified butter and rock salt. Also consume decoctions made from the bark and roots of belleric myrobalan, chebulic myrobalan, Indian madder, and drumstick tree; water mixed with honey; and buttermilk or milk, preferably soured. Regularly consume rice cooked with turmeric and sitaphala (a type of fruit). Drink a mixture of sugarcane juice, munakka raisins, and sugar candy. For phlegm-related diseases, use kaphaghna (phlegm-reducing) drugs such as drākṣā ( Indian jujube), lāja (barley), musta (cyperus rotundus), pauṣkarāra (ficus hispida), and arica (anacyclus pyrethrum). Avoid cold, heavy foods. Regularly consume foods that are sweet, sour, and salty in taste. Also take kaphaghna drugs such as śarkarā (sugar), candana (sandalwood), madhu (honey), dhātrī (emblica officinalis), utpalaiḥ (a type of lotus), mustam (black gram), and sakaphe (horsegram) that are mixed with ghṛta (clarified butter). Regularly consume foods such as madhvamloṣṇāmbutakraṃ (sour milk or yogurt), vā (or) kṣīra (milk), pam (or) śakṛt (buttermilk), rasam (a type of soup made from spices and tamarind). Also consume pitta-reducing foods such as āmalakam (Indian gooseberry), drākṣām ( Indian jujube), lākṣām (cocoa), lājām (barley), sita (sugarcane), upalām (a type of turmeric plant), kṣīre (milk) paktvā (cook",
826,kaṭphalaṃ kattṛṇaṃ bhārgīṃ mustaṃ dhānyaṃ vacābhaye |  śuṇṭhīṃ parpaṭakaṃ śṛṅgīṃ surāhvaṃ ca śṛtaṃ jale ||112||  madhuhiṅguyutaṃ peyaṃ kāse vātakaphātmake |  kaṇṭharoge mukhe śūne śvāsahikkājvareṣu ca ||113||  pāṭhāṃ śuṇṭhīṃ śaṭīṃ mūrvāṃ gavākṣīṃ mustapippalīm |  piṣṭvā gharmāmbunā hiṅgusaindhavābhyāṃ yutāṃ pibet ||114||  nāgarātiviṣe mustaṃ śṛṅgīṃ karkaṭakasya ca |  harītakīṃ śaṭīṃ caiva tenaiva vidhinā pibet ||115||  tailabhṛṣṭaṃ ca pippalyāḥ kalkākṣaṃ sasitopalam |  pibedvā śleṣmakāsaghnaṃ kulattharasasaṃyutam ||116||  kāsamardāśvaviṭbhṛṅgarājavārtākajo rasaḥ |  sakṣaudraḥ kaphakāsaghnaḥ surasasyāsitasya ca ||117||  devadāru śaṭī rāsnā karkaṭākhyā durālabhā |  pippalī nāgaraṃ mustaṃ pathyādhātrīsitopalāḥ ||118||  madhutailayutāvetau lehau vātānuge kaphe |  pippalī pippalīmūlaṃ citrako hastipippalī ||119||  pathyā tāmalakī dhātrī bhadramustā ca pippalī |  devadārvabhayā mustaṃ pippalī viśvabheṣajam ||120||  viśālā pippalī mustaṃ trivṛtā ceti lehayet |  caturo madhunā lehān kaphakāsaharān bhiṣak ||121||  sauvarcalābhayādhātrīpippalīkṣāranāgaram |  cūrṇitaṃ sarpiṣā vātakaphakāsaharaṃ pibet ||122|| daśamūlāḍhake prasthaṃ ghṛtasyākṣasamaiḥ pacet |,"""In the beginning, consume with balanced foods processed with purgatives and having the qualities of being light, alleviating kapha, and made of barley, rice, and other grains, along with pippali and its variety of forms, such as ari, airi, uṣā, etc., which have bitter, pungent, and other tastes. Also, consume milk, curd, ghee, butter, and liquids like takra, madya, and nigada at appropriate times. For medicinal purposes, take decoctions of the roots of balinam, vamanaiḥ, dhānvabailarasa, tila, sarṣapa, bilva, madhva, etc., which have scraping, cleansing, and other therapeutic properties.""",
