id,sloka(iast),translation
858,apatyasantānakaraṃ yat sadyaḥ sampraharṣaṇam|  vājīvātibalo yenayātyapratihataḥ striyaḥ||9||  bhavatyatipriyaḥ strīṇāṃ yena yenopacīyate|  jīryato'pyakṣayaṃ śukraṃ phalavadyena dṛśyate||10||  prabhūtaśākhaḥ śākhīva yena caityo yathā mahān|  bhavatyarcyobahumataḥ prajānāṃ subahuprajaḥ||11||  santānamūlaṃ yeneha pretya cānantyamaśnute|  yaśaḥ śriyaṃ balaṃ puṣṭiṃ vājīkaraṇameva tat||12||,"Vajikarana (aphrodisiac treatment) is that which produces lineage of progeny, quick sexual stimulation, enables one to perform sexual act with the women uninterruptedly and vigorously like a horse, makes one charming for the women, promotes corpulence and infallible and indestructible semen even in the old persons, renders one great having a number of off-springs like a sacred tree branched profusely and commanding respect and popularity in the society. By this one attains eternality based on filial tradition here and hereafter along with fame, fortune, strength and corpulence. [9-12]"
859,svasthasyorjaskaraṃ tvetaddvividhaṃ proktamauṣadham|  yadvyādhinirghātakaraṃ vakṣyate taccikitsite||13||  cikitsitārtha etāvān vikārāṇāṃ yadauṣadham|  rasāyanavidhiścāgre vājīkaraṇameva ca||14||,"Thus, the two fold promotive treatment for the healthy is described here. As regard the measures for alleviating diseases, those will be described in the concerned chapters on therapeutics. The sole purpose of therapeutics is to alleviate diseases. The method of Rasayana has been described first and thereafter the aphrodisiac measures have been described. [13-14]"
860,abheṣajamiti jñeyaṃ viparītaṃ yadauṣadhāt|  tadasevyaṃ niṣevyaṃ tu pravakṣyāmi yadauṣadham||15||,Abheshaja is that which is contrary to the bheshaja i.e. therapy. This is to be avoided whereas the bheshaja therapeutic measures are to be described further to be adopted. [15]
861,rasāyanānāṃ dvividhaṃ prayogamṛṣayo viduḥ|  kuṭīprāveśikaṃ caiva vātātapikameva ca||16||,"The propounders have described two methods of the administration of Rasayana therapy, namely:   kutipraveshika (indoor) and vatatapika (outdoor)."
862,kuṭīprāveśikasyādau vidhiḥ samupadekṣyate|  nṛpavaidyadvijātīnāṃ sādhūnāṃpuṇyakarmaṇām||17||  nivāse nirbhaye śaste prāpyopakaraṇe pure|  diśi pūrvottarasyāṃ ca subhūmau kārayet kuṭīm||18||," Firstly, the procedure of indoor treatment will be described. For this a cottage should be built in an auspicious ground, facing eastward or northward and in a locality inhabited by king, physicians and brahmanas, holy saints, is free from dangers, is auspicious and has easy availability of necessary materials."
863,vistārotsedhasampannāṃ trigarbhāṃ sūkṣmalocanām|  ghanabhittimṛtusukhāṃ suspaṣṭāṃ manasaḥ priyām||19||  śabdādīnāmaśastānāmagamyaṃ strīvivarjitām|  iṣṭopakaraṇopetāṃ sajjavaidyauṣadhadvijām||20||,"  The cottage should have sufficient space and height, three interior chambers one after the other, a small opening, and thick walls and should be comfortable for the seasons, neatly clean and favorable for the treatment. It should be impermeable for undesirable sound etc. (sense objects), free from women, equipped with necessary accessories and attended by physicians with medicines and brahmanas. "
864,athodagayane śukle tithinakṣatrapūjite|  muhūrtakaraṇopete praśastekṛtavāpanaḥ||21||  dhṛtismṛtibalaṃ kṛtvā śraddadhānaḥ samāhitaḥ|  vidhūya mānasān doṣān maitrīṃ bhūteṣu cintayan||22||,"   Now, in northerly course of the sun, bright fortnight and auspicious date, star, hour and karana, one having clean- shaved, with strong restraint and memory, faith and focused mind, and stress-free state, feeling companionship with all the creatures."
865,devatāḥpūjayitvā'gre dvijātīṃśca pradakṣiṇam|  devagobrāhmaṇān kṛtvā tatastāṃ praviśetkuṭīm||23||  tasyāṃ saṃśodhanaiḥ śuddhaḥ sukhī jātabalaḥ punaḥ|  rasāyanaṃ prayuñjīta tatpravakṣyāmiśodhanam||24||,"After worshipped the gods and brahmanas first and keeping the gods, cow and brahmanas to the right side, one should enter the cottage and be cleansed and thereafter when he feels happy and strong, he should use Rasayana treatment. Further I shall talk about the cleansing procedures. [16-24]"
866,harītakīnāṃ cūrṇāni saindhavāmalake guḍam|  vacāṃ viḍaṅgaṃ rajanīṃ pippalīṃ viśvabheṣajam||25||  pibeduṣṇāmbunā jantuḥsnehasvedopapāditaḥ|  tena śuddhaśarīrāya kṛtasaṃsarjanāya ca||26||  trirātraṃ yāvakaṃ dadyāt pañcāhaṃvā'pi sarpiṣā|  saptāhaṃ vā purāṇasya yāvacchuddhestu varcasaḥ||27||,"The individual scheduled to undergo Rasayana treatment, adequately oleated and fomented, should take formulations with hot water consisting of the powders of haritaki, rock salt, amalaka, jaggery, vacha, vidanga, haridra, long pepper and dry ginger. When he is evacuated properly by this procedure and has resumed the routine dietetic regimen, he should be given barley preparation added with ghee for three, five or seven days (according to measure of evacuation) till the accumulated feces are eliminated."
867,śuddhakoṣṭhaṃ tu taṃ jñātvā rasāyanamupācaret|  vayaḥprakṛtisātmyajño yaugikaṃ yasya yadbhavet||28||," Thus, when he is considered as having cleansed properly, the physician should administer the appropriately chosen Rasayana (drug) in consideration of his age, constitution and suitability. [25-28]"
868,harītakīṃ pañcarasāmuṣṇāmalavaṇāṃ śivām|  doṣānulomanīṃ laghvīṃvidyāddīpanapācanīm||29||  āyuṣyāṃ pauṣṭikīṃ dhanyāṃ vayasaḥ sthāpanīṃ parām|  sarvarogapraśamanīṃbuddhīndriyabalapradām||30||,"Haritaki has five tastes devoid of saline taste, is hot, wholesome, carminative, light, appetizer, digestive, life promoting, tonic, excellent sustainer of youthfulness, relieves all diseases and affords strength to all sense organs. "
869,kuṣṭhaṃ gulmamudāvartaṃ śoṣaṃ pāṇḍvāmayaṃmadam|  arśāṃsi grahaṇīdoṣaṃ purāṇaṃ viṣamajvaram||31||  hṛdrogaṃ saśirorogamatīsāramarocakam|  kāsaṃ pramehamānāhaṃ plīhānamudaraṃ navam||32||  kaphaprasekaṃ vaisvaryaṃ vaivarṇyaṃ kāmalāṃ krimīn|  śvayathuṃ tamakaṃ chardiṃ klaibyamaṅgāvasādanam||33||,"It alleviates skin disorders including leprosy, gulma, udavarta, phthisis, anemia, degeneration, piles, disorders of grahani, chronic intermittent fever, heart disease, head disease, diarrhea, anorexia, cough, urinary diseases and diabetes, flatulence, splenomegaly, acute abdominal disorders, excessive secretion of mucus, hoarseness of voice, disorders of complexion, jaundice,worms oedema, bronchial asthma, vomiting, impotency."
870,srotovibandhān vividhān pralepaṃ hṛdayorasoḥ|  smṛtibuddhipramohaṃ ca jayecchīghraṃ harītakī||34||  (ajīrṇino rūkṣabhujaḥ strīmadyaviṣakarśitāḥ|  severannābhayāmete kṣuttṛṣṇoṣṇārditāścaye)||35||  tān guṇāṃstāni karmāṇi vidyādāmalakīṣvapi|  yānyuktāni harītakyā vīryasya tu viparyayaḥ||36||,"Lassitude in organs, micro-obstructive  disorders, feeling of slugged heart and chest, sudden impairment of memory and intellect.  (The individuals having indigestion, consumption of rough food, emaciated by indulgence in women, wine and poisonous substances and afflicted with hunger, thirst and heat should avoid prolong use of haritaki.)  Amlaki has the same properties and actions as haritaki, only the bio-potency is different (haritaki being hot while amalaki is cold.) "
871,ataścāmṛtakalpāni vidyāt karmabhirīdṛśaiḥ|  harītakīnāṃ śasyāni bhiṣagāmalakasya ca||37||," Thus, looking to these actions, one should regard the fruits of haritaki as well as amlaki like nectar. [29-37]"
872,oṣadhīnāṃ parā bhūmirhimavāñ śailasattamaḥ|  tasmātphalāni tajjāni grāhayetkālajāni tu||38||  āpūrṇarasavīryāṇi kāle kāle yathāvidhi|  ādityapavanacchāyāsalilaprīṇitāni ca||39||  yānyajagdhānyapūtīni nirvraṇānyagadāni ca|  teṣāṃ prayogaṃ vakṣyāmi phalānāṃ karma cottamam||40||,"Himalaya is excellent among the mountains, which is the best habitat of medicinal plants. Hence one should obtain the fruits grown there in proper time, mature with taste and potency, replenished with the sun, air, shade and water in respective seasons according to need, and which are uneaten, un-purified, uninjured and non toxic. The excellent actions and uses of these fruits will be described now. [38-40]"
873,pañcānāṃ pañcamūlānāṃ bhāgān daśapalonmitān|  harītakīsahasraṃ ca triguṇāmalakaṃ navam||41||,"The five sets (or pentads) of panchamula are taken in quantities of 400gm (each of the pentad), along with the fresh fruits of haritaki and amlaki in number of one thousand and three thousand respectively. "
874,vidārigandhāṃ bṛhatīṃ pṛśniparṇīṃ nidigdhikām|  vidyādvidārigandhādyaṃ śvadaṃṣṭrāpañcamaṃ gaṇam||42||  bilvāgnimanthaśyonākaṃ kāśmaryamatha pāṭalām|  punarnavāṃ śūrpaparṇyau balāmeraṇḍameva ca||43||  jīvakarṣabhakau medāṃ jīvantīṃ saśatāvarīm|  śarekṣudarbhakāśānāṃ śālīnāṃ mūlameva ca||44||  ityeṣāṃ pañcamūlānāṃ pañcānāmupakalpayet|  bhāgān yathoktāṃstatsarvaṃ sādhyaṃ daśaguṇe'mbhasi||45||,"(The five pentads are as follows): shalaparni, brihati, prishiparni, kanthakari, and gokshura constitute the vidarigandhadi group of five roots.   Similarly, bilwa, agnimantha, shyonaka, kashmarya and patala constitute the bilwadi pentad of roots. punarnava, mudagparni, mashaparni, bala and eranda constitute punarnavadi pentad. jivaka rishabhaka, meda, jivanti and shatavari constitute jivakadi pentad. Roots of shara, ikshu, darbha, kasha and shali constitute the sharadi pentad of roots. These five pentads are taken together and boiled in ten times quantity of water."
875,daśabhāgāvaśeṣaṃ tu pūtaṃ taṃ grāhayedrasam|  harītakīśca tāḥ sarvāḥ sarvāṇyāmalakāni ca||46||  tāni sarvāṇyanasthīni phalānyāpothya kūrcanaiḥ|  vinīya tasminniryūhe cūrṇānīmānidāpayet||47||  maṇḍūkaparṇyāḥ pippalyāḥ śaṅkhapuṣpyāḥ plavasyaca|  mustānāṃ saviḍaṅgānāṃ candanāguruṇostathā||48||  madhukasya haridrāyā vacāyāḥ kanakasya ca|  bhāgāṃścatuṣpalān kṛtvā sūkṣmailāyāstvacastathā||49||  sitopalāsahasraṃ ca cūrṇitaṃtulayā'dhikam|  tailasya dvyāḍhakaṃ tatra dadyāttrīṇi ca sarpiṣaḥ||50||," When water is reduced to one tenth, it is brought down and filtered. On the other hand, the fruit of haritaki and amlaki are picked out, their seeds are removed and pounded well on stone slabs or in mortar. This is mixed in the above decoction and powder of the following drugs and substances are added to it- mandukaparni, pippali, shankhapushpi, plava, musta, vidanga, chandana, aguru, manduka, haridra, vacha, nagakeshara, sukshma ela and twak each in quantity of 160 gm and sugar candy 44 kg, tila oil 5 kg 120 gm, ghee 7kg 680 gm are added to it. All this is cooked in copper utensil on mild fire."
876,sādhyamaudumbare pātre tat sarvaṃ mṛdunā'gninā|  jñātvālehyamadagdhaṃ ca śītaṃ kṣaudreṇa saṃsṛjet||51||  kṣaudrapramāṇaṃ snehārdhaṃ tat sarvaṃ ghṛtabhājane|  tiṣṭhetsammūrcchitaṃ tasya mātrāṃ kāle prayojayet||52||  yā noparundhyādāhāramekaṃ mātrā jarāṃprati|  ṣaṣṭikaḥ payasā cātra jīrṇe bhojanamiṣyate||53||,"When it is converted in to linctus and is not burnt it is brought down. Honey is added to it in quantity of 3 kg 840gm, when it is cooked down. Now the preparation is kept in a vessel laced with ghee.  This preparation should be used in proper time and dose. The proper dose is that which does not disturb the digestion of the food. When the drug is digested the patient should take shashtika rice with milk.  "
877,vaikhānasā vālakhilyāstathā cānye tapodhanāḥ|  rasāyanamidaṃ prāśyababhūvuramitāyuṣaḥ||54||  muktvā jīrṇaṃ vapuścāgryamavāpustaruṇaṃ vayaḥ|  vītatandrāklamaśvāsā nirātaṅkāḥ samāhitāḥ||55||,"  By taking this Rasayana drug the sages of vaikhanasa and balakhilya groups and other ones attained immeasurable life span; acquired excellent youth shedding off the rotten physique, became free from dullness, exhausation, dyspnoea and diseases; "
878,medhāsmṛtibalopetāścirarātraṃ tapodhanāḥ|  brāhmaṃ tapo brahmacaryaṃ ceruścātyantaniṣṭhayā||56||  rasāyanamidaṃ brāhmamāyuṣkāmaḥ prayojayet|  dīrghamāyurvayaścāgryaṃ kāmāṃśceṣṭān samaśnute||57||  (iti brāhmarasāyanam)|,"Endowed with full concentration, intellect and strength practised celibacy and spiritual penance with full devotion. An individual desirous of longevity should use this Brahma rasayana by which he attains long life, excellent (youthful) age and wellness.  [41-57]"
879,bhavanti cātra  idaṃ rasāyanaṃ brāhmaṃ maharṣigaṇasevitam|  bhavatyarogo dīrghāyuḥ prayuñjāno mahābalaḥ||59|| kāntaḥ prajānāṃsiddhārthaścandrādityasamadyutiḥ|  śrutaṃ dhārayate sattvamārṣaṃ cāsya pravartate||60||  dharaṇīdharasāraśca vāyunā samavikramaḥ|  sa bhavatyaviṣaṃ cāsya gātre sampadyate viṣam||61||  (iti dvitīyaṃ brāhmarasāyanam)|,"This Rasayana preparation should be taken regularly in the dose of 5 gms gradually increasing with the same by the said method in every morning in consideration of the digestive capacity, after the consumed medication is digested, shashtika rice along with milk added with ghee should be taken. This treatment affords one to achieve the therapeutic results mentioned above.  Here are the summarizing verses-  On using this brahma rasayana, already used by great sages, the user becomes disease free, long lived and with great strength. He becomes charming to the world, with all mission fulfilled, having splendor like that of the moon and the sun, acquires and retains the knowledge. He is endowed with divine psyche, firmness like that of mountain, valor like that of wind. Even poison is reduced to non poison on coming in contact with his body. [59-61]"
880,bilvo'gnimanthaḥ śyonākaḥ kāśmaryaḥ pāṭalirbalā|  parṇyaścatasraḥ pippalyaḥ śvadaṃṣṭrā bṛhatīdvayam||62||  śṛṅgī tāmalakī drākṣā jīvantī puṣkarāguru|  abhayā cāmṛtā ṛddhirjīvakarṣabhakau śaṭī||63||  mustaṃ punarnavā medā sailā candanamutpalam|  vidārī vṛṣamūlāni kākolī kākanāsikā||64||  eṣāṃ palonmitān bhāgāñchatānyāmalakasya ca|  pañca dadyāttadaikadhyaṃ jaladroṇe vipācayet||65||,"40 Gms of each of bilwa, agnimantha, shyonaka, kashmarya, patala, bala, four leaved herbs (shalaparni, prishniparni, mudgaparni, mashaparni), pippali, shvadamshtra, brihati, kantakari, karkatshringi, tamalaki, draksha, jivanti, pushkaramula, aguru, abhaya, amrita, riddhi, jivaka, rishabhaka, shati, musta, punarnava, meda, ela, chandana, utpala, vidari, vasa (roots), kakoli and kakanasa and 500 fruits of amalaki– all these put together should be boiled in water measuring 100 litres 240 ml. when the drugs are extracted completely the decoction should be brought down. "
881,jñātvā gatarasānyetānyauṣadhānyatha taṃ rasam|  taccāmalakamuddhṛtya niṣkulaṃ tailasarpiṣoḥ||66||  paladvādaśake bhṛṣṭvā dattvā cārdhatulāṃ bhiṣak|  matsyaṇḍikāyāḥ pūtāyā lehavatsādhu sādhayet||67||  ṣaṭpalaṃ madhunaścātra siddhaśīte pradāpayet|  catuṣpalaṃ tugākṣīryāḥ pippalīdvipalaṃ tathā||68||  palamekaṃ nidadhyācca tvagelāpatrakeśarāt|  ityayaṃ cyavanaprāśaḥ paramukto rasāyanaḥ||69||,"The fruits of amalaki also should be taken out and their seeds are removed. Then the fruit pulp should be fried in tila oil and ghee (mixed) in quantity of 480 gms. Now it should be cooked in the above decoction adding to it 2 kg of clean sugar candy and prepared into a linctus. When it is self cooked, 240 gms of honey should be added to it. At the end, 160 gms twak, ela, patra and nagakeshara (combined together) should be added. This is the famous chyavanaprasha, an excellent Rasayana. "
882,kāsaśvāsaharaścaiva viśeṣeṇopadiśyate|  kṣīṇakṣatānāṃ vṛddhānāṃ bālānāṃcāṅgavardhanaḥ||70||  svarakṣayamurorogaṃ hṛdrogaṃ vātaśoṇitam|  pipāsāṃ mūtraśukrasthān doṣāṃścāpyapakarṣati||71||,"Particularly it alleviates cough and dyspnea, is useful for the wasted, injured and old people and promotes development of children. It alleviates hoarseness of voice, chest disease, heart disease, vatarakta, thirst and disorders of urine and semen.[71-72] "
883,asya mātrāṃprayuñjīta yoparundhyānna bhojanam|  asya prayogāccyavanaḥsuvṛddho'bhūtpunaryuvā||72||  medhāṃ smṛtiṃ kāntimanāmayatvamāyuḥprakarṣaṃ balamindriyāṇām|  strīṣu praharṣaṃ paramagnivṛddhiṃ varṇaprasādaṃpavanānulomyam||73|| rasāyanasyāsya naraḥ prayogāllabheta jīrṇo'pi kuṭīpraveśāt|  jarākṛtaṃ rūpamapāsya sarvaṃ bibharti rūpaṃ navayauvanasya||74|| (iti cyavanaprāśaḥ)|,"It should be taken in the dose which does not interfere with the food intake and digestion. By consuming this Rasayana preparation, the extremely old sage Chyavana regained youthful age. If this Rasayana is used by the indoor method, even the old attains intellect, memory, luster, freedom from disease, longevity, strength of senses, sexual vigor, adequate agni function (digestion and metabolism), fairness of complexion and appropriate discharge of flatus. The consumer of this Rasayana gets rid of senility and enjoys youthfulness. [62-74]"
884,bhavanticātra yathā'marāṇāmamṛtaṃ yathā bhogavatāṃsudhā|  tathā'bhavanmaharṣīṇāṃ rasāyanavidhipurā||78|| na jarāṃ na ca daurbalyaṃ nāturyaṃ nidhanaṃ na ca|  jagmurvarṣasahasrāṇi rasāyanaparāḥ purā||79||  na kevalaṃ dīrghamihāyuraśnute rasāyanaṃ yovidhivanniṣevate|  gatiṃ sa devarṣiniṣevitāṃ śubhāṃ prapadyate brahma tatheti cākṣayam||80||,"Here are the verses- As was nectar for the Gods and ambrosia for the serpents so was the Rasayana treatment for the great sages in early times. The individuals using Rasayana treatment in the early ages lived for thousands of years unaffected by senescence, debility, illness and death. One who uses the Rasayana treatment methodically attains not only longevity but also the auspicious status enjoyed by the godly sages and finally oneness with indestructible God. [78-80]"
885,tatraślokaḥ  abhayāmalakīye'smin ṣaḍyogāḥ parikīrtitāḥ|  rasāyanānāṃ siddhānāmāyuryairanuvartate||81||,"Now the summing up verse- Thus, in the quarter of haritaki, amalaka etc. six accomplished Rasayana formulations have been described which promote life.[81]"
886,ityagniveśakṛte tantre carakapratisaṃskṛtecikitsāsthānerasāyanādhyāye'bhayāmalakīyo nāma rasāyanapādaḥ prathamaḥ||1||,"Thus ends the first quarter of haritaki, amalaka etc. in the chapter on Rasayana in Chikitsa Sthana in the treatise composed of Agnivesha and redacted by Charak. [1]"
887,athātaḥ prāṇakāmīyaṃ rasāyanapādaṃ vyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||,"Now we shall expound the quarter of the chapter ""Pranakamiyam Rasayana pada"". Thus said Lord Atreya. [1-2]"
888,bhallātakatailapātraṃ sapayaskaṃ madhukena kalkenākṣamātreṇa śatapākaṃ kuryāditi samānaṃ pūrveṇa||15||  (iti bhallātakatailam)|,The above bhallataka taila should be taken in quantity of 2 kg 560 gms and cooked along with milk and paste of madhuka in 1/8 quantity. This should be repeated hundred times. Other details are as above.[15] 
889,bhallātakasarpiḥ bhallātakakṣīraṃ bhallātakakṣaudraṃ guḍabhallātakaṃ bhallātakayūṣaḥ bhallātakatailaṃ bhallātakapalalaṃ bhallātakasaktavaḥ bhallātakalavaṇaṃbhallātakatarpaṇam iti bhallātakavidhānamuktaṃ bhavati||16||,"Bhallataka is used in the following forms - Bhallataka ghrita,  bhallataka-ksheeram, bhallataka-kshaudra, guda-bhallataka, bhallataka-yusha, bhallataka-taila, bhallataka-palala, bhallataka-saktu, bhallataka-lavana, bhallataka-tarpana. [16]"
890,bhavanticātra  bhallātakāni tīkṣṇāni pākīnyagnisamānica| bhavantyamṛtakalpāni prayuktāni yathāvidhi||17||  ete daśavidhāstveṣāṃ prayogāḥparikīrtitāḥ|  rogaprakṛtisātmyajñastān prayogān prakalpayet||18||,"Here are the verses-  The fruits of bhallataka are irritant, inflaming and are like fire but they assume nectar like properties if used as prescribed. Their use in the above ten forms is described which should be prescribed considering the disease, constitution, and suitability. "
891,kaphajo na sa rogo'sti na vibandho'sti kaścana|  yaṃ na bhallātakaṃ hanyācchīghraṃ medhāgnivardhanam||19||  (iti bhallātakavidhiḥ)|  prāṇakāmāḥ purā jīrṇāścyavanādyā maharṣayaḥ|  rasāyanaiḥ śivairetairbabhūvuramitāyuṣaḥ||20||  brāhmaṃ tapo brahmacaryamadhyātmadhyānameva ca|  dīrghāyuṣo yathākāmaṃ sambhṛtya tridivaṃ gatāḥ||21||  tasmādāyuḥprakarṣārthaṃ prāṇakāmaiḥsukhārthibhiḥ|  rasāyanavidhiḥ sevyo vidhivatsusamāhitaiḥ||22||,"There is no disorder of kapha and obstructive condition which is not ameliorated by bhallataka quickly. Moreover, it promotes intellect and agni.  In early days, the old great sages like Chyavana etc, who desiring vital strength, attained immeasurable life span by using these beneficial Rasayana formulations. After attaining longevity they performed as desired, spiritual penance, celibacy and self- medications and ascended to the heaven. Hence those who desire longevity, vital strength and happiness should use the Rasayana methodically and carefully. [17-22]"
892,tatra ślokaḥ  rasāyanānāṃ saṃyogāḥ siddhābhūtahitaiṣiṇā|  nirdiṣṭāḥ prāṇakāmīye saptatriṃśanmaharṣiṇā ||23||,"Now the summing up verse -   In this quarter relating to desire for vital strength the great sage, compassionate on creatures, described thirty seven successful formulations of rasayana. [23]"
893,ityagniveśakṛte tantre carakapratisaṃskṛte cikitsāsthāne rasāyanādhyāye prāṇakāmīyo nāma rasāyanapādo dvitīyaḥ||2||,Thus ends the second quarter on desire for vital strength in the chapter on Rasayana in Chikitsa Sthana in the treatise composed by Agnivesha and redacted by Charak.[2]
894,athātaḥ karapracitīyaṃ rasāyanapādaṃvyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||,"Now we shall expound the third quarter ""Karaprachitiyam Rasayana Pada"". Thus said Lord Atreya.[1-2]  Note: The section deals with rejuvenation effects of hand- plucked fruits of amalaki."
895,bhavanticātra  etadrasāyanaṃ pūrvaṃ vasiṣṭhaḥkaśyapo'ṅgirāḥ| jamadagnirbharadvājo bhṛguranye ca tadvidhāḥ||4||  prayujya prayatā muktāḥ śramavyādhijarābhayāt| yāvadaicchaṃstapastepustatprabhāvānmahābalāḥ||5||  idaṃ rasāyanaṃ cakre brahmā vārṣasahasrikam|  jarāvyādhipraśamanaṃ buddhīndriyabalapradam||6||  (ityāmalakāyasaṃ brāhmarasāyanam)|,"Here are the verses-  This Rasayana preparation in ancient times was used by Vasishtha, Kashyapa, Angiras, Jamadagni, Bharadwaja, Bhrigu and similar other rishis who by consumption of this medication became free from exertion, disease, senility and fear and acquired great strength due to its effect and performed penance as desired. This Rasayana preparation was developed by Brahma and it provides a life span of one thousand years, alleviates senility and disease and promotes strength of intellect and senses. [4-6]"
896,tapasā brahmacaryeṇa dhyānena praśamena ca|  rasāyanavidhānena kālayuktena cāyuṣā||7||  sthitā maharṣayaḥ pūrvaṃ nahikiñcidrasāyanam|  grāmyānāmanyakāryāṇāṃ sidhyatyaprayatātmanām||8||,"In ancient times, the great sages attained stable life span by using the Rasayana treatment properly and timely due to penance, celibacy, meditation and serenity because no Rasayana treatment is successful in individuals who are not attentive, are engaged in divergent activities and live in villages. [7-8]"
897,saṃvatsaraṃ payovṛttirgavāṃ madhye vaset sadā|  sāvitrīṃ manasā dhyāyan brahmacārī yatendriyaḥ||9||,"One should live in amidst cows, remain on milk diet mediate on Savitri mantra(Gayatri mantra), observing celibacy and controlling his sense organs for a year. "
898,saṃvatsarānte pauṣīṃ vā māghīṃ vā phālgunīṃ tithim|  tryahopavāsī śuklasya praviśyāmalakīvanam||10||  bṛhatphalāḍhyamāruhya drumaṃ śākhāgataṃ phalam|  gṛhītvā pāṇinā tiṣṭhejjapan brahmāmṛtāgamāt||11||  tadā hyavaśyamamṛtaṃ vasatyāmalake kṣaṇam|  śarkarāmadhukalpāni snehavanti mṛdūni ca||12||  bhavantyamṛtasaṃyogāttāni yāvanti bhakṣayet|  jīvedvarṣasahasrāṇi tāvantyāgatayauvanaḥ||13||  sauhityameṣāṃ gatvā tu bhavatyamarasannibhaḥ|  svayaṃ cāsyopatiṣṭhante śrīrvedā vāk ca rūpiṇī||14||  (iti kevalāmalakarasāyanam)|,"At the end of the year, he should fast for three days and then should enter in to a forest of amalaki trees on full moon day of the month of Pausha, Magha or Phalguna. Then he should climb on one of the amalaki trees having big fruits, should take the fruit situated on a branch by hand and should wait for some time repeating the Brahman mantras till nectar descends in the fruit. During this period nectar positively resides in amalaka fruit which, due to presence of nectar, becomes sweet like sugar and honey, unctuous and soft. The person having regained youthfulness lives the number of thousand of years equal to that of fruits eaten. After getting saturated fully with them one becomes like God and Shri, Vedas and personified knowledge enters in to him spontaneously. [9-14]"
899,triphalāyā rase mūtre gavāṃ kṣāre ca lavaṇe|  krameṇaceṅgudīkṣāre kiṃśukakṣāra eva ca||15||  tīkṣṇāyasasya patrāṇi vahnivarṇāni sādhayet |  caturaṅguladīrghāṇi tilotsedhatanūni ca||16|| jñātvā tānyañjanābhāni sūkṣmacūrṇāni kārayet|  tāni cūrṇāni madhunā rasenāmalakasya ca||17||  yuktāni lehavat kumbhe sthitāni ghṛtabhāvite|  saṃvatsaraṃ nidheyāni yavapalle tathaivaca||18||,"The paper like pieces of sharp iron four fingers long and thin like sesame seeds should be heated till they are red hot. Then they should be dipped in triphala decoction, cow urine, alkali prepared from lavana, ingudi and palasha. After they are transformed like collyrium they should be powdered finely. This powder mixed with honey and amalaka juice should be made in to linctuses, which should be kept in a ghee lined pot and stored for a year in granary of barley stirring it from all sides every month. "
900,dadyādāloḍanaṃ māse sarvatrāloḍayan budhaḥ|  saṃvatsarātyaye tasya prayogo madhusarpiṣā||19||  prātaḥ prātarbalāpekṣī sātmyaṃ jīrṇe ca bhojanam|  eṣa eva ca lauhānāṃ prayogaḥ samprakīrtitaḥ||20||,"After one year, it should be consumed mixed with honey and ghee every morning as per the strength along with prescribed diet after the drug is digested. This is the method of administration of all the metallic preparations. "
901,nābhighātairna cātaṅkairjarayāna ca mṛtyunā|  sa dhṛṣyaḥ syādgajaprāṇaḥ sadā cātibalendriyaḥ||21||  dhīmān yaśasvī vāksiddhaḥ śrutadhārī mahādhanaḥ|  bhavet samāṃ prayuñjāno naro lauharasāyanam||22||  anenaiva vidhānena hemnaśca rajatasyaca|  āyuḥprakarṣakṛtsiddhaḥ prayogaḥ sarvaroganut||23||  (iti lauhādirasāyanam)|," The person who uses iron Rasayana, overcomes injury, disease, senility and death because he has acquired vital strength like that of elephant and strong sense organs. The user of the metallic Rasayana for a year becomes intelligent, renowned orator, scholar and wealthy. So also the use of gold or silver Rasayana also provide longevity and freedom from all ailments. [15-23]"
902,aindrī matsyākhyako brāhmī vacā brahmasuvarcalā|  pippalyo lavaṇaṃ hema śaṅkhapuṣpī viṣaṃghṛtam||24||  eṣāṃ triyavakān bhāgān hemasarpirviṣairvinā|  dvau yavau tatra hemnastu tilaṃ dadyādviṣasyaca||25||  sarpiṣaśca palaṃ dadyāttadaikadhyaṃ prayojayet|  ghṛtaprabhūtaṃ sakṣaudraṃ jīrṇe cānnaṃpraśasyate||26||,"Aindri, matsyakhyaka, brahmi, vacha, brahmasuvarchala, pippali, lavana, shankhapushpi, all in quantity of three barley grains, gold in that of two barley grains, visa equal to one sesame seed and ghee 40 gms – mixed together and used. Once the food is digested, a diet consisting of honey and plenty of ghee is prescribed.  "
