id,original_trans,translation
898,"At the end of the year, he should fast for three days and then should enter in to a forest of amalaki trees on full moon day of the month of Pausha, Magha or Phalguna. Then he should climb on one of the amalaki trees having big fruits, should take the fruit situated on a branch by hand and should wait for some time repeating the Brahman mantras till nectar descends in the fruit. During this period nectar positively resides in amalaka fruit which, due to presence of nectar, becomes sweet like sugar and honey, unctuous and soft. The person having regained youthfulness lives the number of thousand of years equal to that of fruits eaten. After getting saturated fully with them one becomes like God and Shri, Vedas and personified knowledge enters in to him spontaneously. [9-14]","As the year draws to a close, a significant ritual is commenced by our protagonist. He begins with a strict three-day fast, readying himself for the spiritual journey ahead. His destination is a forest filled with amalaki trees, a location carefully chosen for its significance in the ritual. The full moon day of Pausha, Magha, or Phalguna sets the stage for this eventful occasion.

With determination, he climbs one of the amalaki trees, selecting one laden with large, enticing fruits. A particular fruit is chosen, picked carefully from a branch. The Brahman mantras become his companion as he waits, his patience rewarded with a divine descent - nectar fills the fruit, transforming it into a sacrament of sorts. The fruit's sweetness intensifies, becoming akin to sugar and honey, its texture softening and becoming unctuous. Each fruit consumed grants him not just rejuvenation but also youthfulness, extending his lifespan by thousands of years. The nectar's divine influence continues, bestowing upon him divine status, knowledge, and wisdom, as Vedas and personified knowledge become one with him."
899,"The paper like pieces of sharp iron four fingers long and thin like sesame seeds should be heated till they are red hot. Then they should be dipped in triphala decoction, cow urine, alkali prepared from lavana, ingudi and palasha. After they are transformed like collyrium they should be powdered finely. This powder mixed with honey and amalaka juice should be made in to linctuses, which should be kept in a ghee lined pot and stored for a year in granary of barley stirring it from all sides every month. ","The traditional medical practice described in the process involves the creation of sharp, slender metal fragments, approximately four fingers in length and as thin as sesame seeds. These pieces must be heated until they reach a glowing red-hot state, then dipped in a concoction prepared from triphala decoction, cow urine, and alkali derived from lavana, ingudi, and palasha. Once the metal undergoes a transformation, akin to that of collyrium, it is then finely ground into a powder. This powder is then combined with a mixture of honey and amalaka juice to create a linctus, which is stored in a ghee-lined pot and kept in a barley granary for a year, ensuring to stir it from all sides monthly to preserve its effectiveness."
900,"After one year, it should be consumed mixed with honey and ghee every morning as per the strength along with prescribed diet after the drug is digested. This is the method of administration of all the metallic preparations. ","In the realm of medicinal practices, particularly those involving metallic preparations, a unique method of administration is recommended. After a period of one year, these preparations should be consumed in a specific manner – mixed with honey and ghee every morning, according to one's strength. This consumption is advised post the digestion of the medication and is to be followed as part of a prescribed diet regimen. This consistent approach applies to all metallic preparations, making it a universal method in this sphere of healthcare."
901," The person who uses iron Rasayana, overcomes injury, disease, senility and death because he has acquired vital strength like that of elephant and strong sense organs. The user of the metallic Rasayana for a year becomes intelligent, renowned orator, scholar and wealthy. So also the use of gold or silver Rasayana also provide longevity and freedom from all ailments. [15-23]","The use of iron Rasayana is said to confer significant benefits upon an individual, enabling them to overcome injuries, diseases, and even the effects of aging, bestowing them with the strength and vitality of an elephant and powerful senses. In addition, those who consume metallic Rasayanas for a year are reported to experience improvements in their intelligence, eloquence, and wealth. Similarly, the consumption of gold or silver Rasayanas is believed to promote longevity and freedom from illness. These ancient practices from Ayurveda offer a tantalizing glimpse into the potential for enhancing human capabilities and extending lifespan through natural means."
902,"Aindri, matsyakhyaka, brahmi, vacha, brahmasuvarchala, pippali, lavana, shankhapushpi, all in quantity of three barley grains, gold in that of two barley grains, visa equal to one sesame seed and ghee 40 gms – mixed together and used. Once the food is digested, a diet consisting of honey and plenty of ghee is prescribed.  ","The ancient text's wisdom comes to life with the combination of nine ingredients, including Aindri, Matsyakhyaka, Brahmi, Vacha, Brahmasuvarchala, Pippali, Lavana, Shankhapushpi, and a touch of gold, all carefully measured to the equivalent of three barley grains. To this, a dash of Visa, equal to a single sesame seed, is added, and the mixture is completed with the inclusion of 40 grams of Ghee. Once digestion takes place, the dietary regimen continues with honey and an abundant supply of Ghee. This time-honored formula reflects the holistic approach to health and wellness that has been passed down through generations."
903,"This precious aindra rasayana alleviates senility and diseases, promotes memory and intellect, enhances life span, and provides nourishment, excellence, clarity of voice, complexion, ojas and immunity. Magic spells, poison and pains cannot resist its effect. This Rasayana alleviates leucoderma, leprosy, abdominal diseases, gulma, spleenomegaly, chronic intermittent fever and the disease taking away intellect, memory and knowledge and also the severe vatika disorders. [24-29]","Aindra Rasayana is a highly prized Ayurvedic formulation that offers numerous health benefits. This Rasayana is renowned for its ability to mitigate the effects of senility and various diseases, while also promoting memory, intellect, and overall longevity. The consumption of Aindra Rasayana also provides essential nourishment, improving voice clarity, complexion, ojas, and immunity. Moreover, this powerful formulation boasts resistance to magic spells, poison, and pain. Its therapeutic properties extend to treating leucoderma, leprosy, abdominal diseases, gulma, spleenomegaly, chronic intermittent fever, and severe vatika disorders that impair intellect, memory, and knowledge."
904,"Consumption of mandukaparni juice, the powder of yashtimadhu with milk, the juice of guduchi along with its roots and flowers and the paste of shankhapushpi – these Rasayana drugs are life promoting, disease alleviating, promoters of strength, agni, complexion, voice and are intellect promoting. Of them shankhapushpi is specifically intellect promoting. [30-31]","In the realm of Ayurveda, a system of traditional Indian medicine, certain Rasayana drugs have been identified to promote longevity, prevent diseases, and enhance overall well-being. Among these, the consumption of mandukaparni juice, the powder of yashtimadhu mixed with milk, the juice of guduchi along with its roots and flowers, and the paste of shankhapushpi have been highlighted for their remarkable benefits. These concoctions are known to improve strength, agni (digestive fire), complexion, and voice, while also possessing disease-alleviating properties. However, it is worth noting that shankhapushpi stands out for its specific ability to promote intellect and cognitive functions, making it a valuable ingredient in the quest for optimal health and mental clarity."
905,"The individuals desirous of Rasayana effect should take pippali in number of five, seven, eight or ten with honey and ghee for a year. Three pippali fruits should be taken in the morning, after meal and before meal. These fruits should first be impregnated with alkali of palasha and then fried in ghee.","For those seeking the rejuvenating benefits of Rasayana, a dedicated regimen of pippali (long pepper) consumption is recommended. According to ancient Ayurvedic texts, one should consume five, seven, eight, or ten pippali fruits with honey and ghee daily for a span of one year. Divide this dosage into three equal parts, taken once in the morning, after meals, and before meals. A crucial step in preparing these fruits is to soak them in the alkali of palasha and then fry them gently in ghee. Adhering to this regimen ensures optimal absorption and lasting benefits."
906,"These should be taken with honey by those who want Rasayana effect particularly in order to alleviate cough, wasting, phthisis, dyspnea, hiccup, throat disorders, piles, disorders of grahani, paleness, intermittent fever, disorders of voice, chronic rhinitis, swelling, gulma and vatabalasaka. [32-35]","Honey can serve as a delicious and natural companion to herbal remedies that promote the Rasayana effect, a term denoting rejuvenation and restoration in Ayurvedic medicine. Those seeking relief from ailments such as cough, wasting, phthisis, and dyspnea may find it beneficial to consume these remedies mixed with honey. Furthermore, honey can help alleviate symptoms associated with hiccups, throat disorders, piles, and disorders of grahani, a term referring to the stomach and small intestine. As a natural anti-inflammatory and antimicrobial agent, honey can also aid in managing paleness, intermittent fevers, and chronic rhinitis. Additionally, it may help reduce swelling and provide relief for gulma, a term used to describe abdominal masses or distension, and vatabalasaka, which refers to disorders related to imbalances in vata dosha, or the air element in the body."
907,"Ten pippali should be taken with milk on the first day. From the second day onwards up to the tenth day ten fruits should be increased daily. From the eleventh day the number of fruits should be decreased gradually in the same order till it comes to ten. After the medicine is digested the person should take shashtika rice with ghee extracted from milk. Thus the use of pippali in total number of one thousand is Rasayana in effect. The pippali fruits should be taken by the persons with high strength in the form of paste, by those with medium strength in that of decoction and by those with low strength in the form of powder keeping in view the doshas and diseases. ","The administration of pippali, also known as long pepper, is a time-honored tradition in Ayurvedic medicine, and this regimen involves a carefully orchestrated sequence of consumption over a span of ten days, followed by a specific diet. On the initial day, ten pippali fruits are recommended to be consumed along with milk. As each day passes, the number of fruits ingested is set to increase by ten, culminating in a total of one hundred fruits on the tenth day. Following this, the number of fruits consumed is gradually reduced, returning to ten fruits on the eleventh day. This intricate process is believed to have a rejuvenating impact on the body, or ""Rasayana"" effect, when one thousand pippali fruits have been consumed in total. The preparation and intake method of this potent medicinal fruit varies, depending on a person's individual strength and their unique dosha and disease considerations, with some advised to consume it in a paste form, others in a decoction, and those with lower strength prescribed a powdered form for maximum benefits. Finally, after digestion, it is customary to consume shashtika rice with ghee derived from milk, further enhancing the therapeutic potential of this Ayurvedic remedy."
908,"The initial use of ten pippali fruits is maximum, that of six is medium and that of three is minimum. These numbers are also applicable according to the degree of strength of the patient. The Rasayana use of pippali is bulk promoting, beneficial for voice and life span, alleviates spleen enlargement, sustains age and promotes intellect. [36-40]","Pippali, a powerful herb in Ayurvedic medicine, has been used for centuries to promote health and well-being. The use of ten pippali fruits is recommended for maximum strength, while six is considered medium and three is used for milder effects. This dosage can be adjusted according to the patient's degree of strength. One of the most notable benefits of pippali is its Rasayana properties, which promote bulk, improve voice quality, increase lifespan, reduce spleen enlargement, sustain age, and enhance intellect. With such a wide range of benefits, it's no wonder that pippali has been a staple in Ayurvedic medicine for so long."
909,"One haritaki after digestion, two bibhitaka before meal and four amalaki after meal should be taken with honey and ghee for a year. This triphala rasayana helps a person live for one hundred years free from senility and disease. (41-42)","If you're looking to improve your longevity and overall health, consider incorporating Triphala Rasayana into your daily routine. This ancient Ayurvedic practice involves consuming a mixture of three fruits - Haritaki, Bibhitaka, and Amalaki - in specific quantities with honey and ghee. According to Ayurvedic texts, taking one Haritaki after digestion, two Bibhitakas before a meal, and four Amalakis after a meal daily for a year can help one live for a century, free from senility and disease (41-42). While this may sound too good to be true, many believe in the healing properties of these fruits and their potential to promote a healthier lifestyle."
910,A new iron plate should be pasted with the paste of triphala. After twenty-four hours this paste should be collected and dissolved in honey water and consumed. After the medicine is digested one should take a meal with plenty of fat. By observing this procedure for a year one lives one hundred years free from senility and illness. [43-44],"The ancient practice of using a triphala paste on a new iron plate and consuming it as a medicine has been gaining attention for its potential health benefits. According to traditional texts, after applying the paste on the iron plate, it should be allowed to sit for twenty-four hours before being collected and dissolved in honey water. This concoction, once digested, is then followed by a meal rich in fats. For those willing to commit to this daily routine for a year, the promise is a life of longevity, free from senility and illness, reaching the age of one hundred years or more."
911,"Triphala mixed with madhuka, tugaksheeri, pippali along with honey and ghee or triphala with sugar is an effective Rasayana. [45]","Triphala, a powerful rejuvenator in Ayurveda, when combined with madhuka, tugaksheeri, pippali, honey, and ghee, forms a potent Rasayana or rejuvenating tonic. This mixture is believed to promote longevity, support digestion, and enhance overall well-being. On the other hand, mixing triphala with sugar can also create an effective Rasayana, although it may yield slightly different benefits compared to the former formulation. Exploring these ancient Ayurvedic remedies can offer valuable insights into holistic health practices and alternative approaches to promoting vitality and optimal functioning."
912,"Triphala along with all six metals including gold, vacha or with vidanga and pippali or with lavana taken with honey and ghee for a year promotes intellect, memory and strength, longevity and excellence and relieves senility and diseases. [46-47]","Triphala, a revered Ayurvedic herbal blend, when combined with a mixture of six metals, known as Bhasmas, such as gold, vacha, vidanga, pippali, and lavana, creates a powerful tonic that has been used for centuries to promote intellect, memory, strength, and longevity. According to ancient Ayurvedic texts, when taken regularly with honey and ghee for a period of one year, this potent concoction can help relieve symptoms of senility and protect against various diseases. The combination of these ingredients is believed to enhance excellence, ensuring overall well-being and improved quality of life."
913,"Shilajatu originates from four metals – gold, silver, copper and black iron and is slightly sour, astringent in taste, katu in vipaka and is moderate in veerya. This is Rasayana in effect and if applied methodically it is aphrodisiac and alleviates diseases. Its potency enhances if it is impregnated with decoction of drugs alleviating vata, pitta and kapha either singly or in combination. [48-50]","Shilajatu, a powerful Rasayana in Ayurvedic medicine, is believed to have its origins in four significant metals - gold, silver, copper, and black iron. With a slightly sour taste and an astringent quality, it transforms into a pungent vipaka and maintains a moderate veerya. As a potent aphrodisiac, Shilajatu not only enhances potency but also alleviates various diseases when administered appropriately. The addition of decoctions derived from drugs that counter vata, pitta, and kapha imbalances further amplifies its effectiveness, creating a synergistic effect that enhances its overall healing properties."
914,"Shilajatu is impregnated by dipping it in lukewarm decoction and then taking it out at the end of the day, repeating the process for a week. Shilajatu mixed with ashed metals should be taken with milk by the prescribed method. ","Shilajatu, a mineral compound used in Ayurvedic medicine, is traditionally prepared through a process of repetitive dipping in a lukewarm decoction and removal at the end of each day, continued for a week. This method ensures that the Shilajatu becomes infused with the properties of the decoction. In addition, Shilajatu can also be combined with ash from specific metals, following which, the mixture must be taken with milk according to a prescribed method. The combination of Shilajatu with other substances serves to enhance its therapeutic properties, making it a powerful tool in Ayurvedic healing practices."
915,"This formulation provides happy long life, retards aging and disease, stabilizes the body, and promotes intellect and memory and excellence if taken with milk diet. The method of use is threefold viz. for seven weeks, three weeks and one week regarded as maximum, medium and minimum. The dose also is of three grades – 40 gms, 20 gms and 10 gms. [51-55]","Discover the remarkable properties of this formula that offers more than just a healthy extension to your life. It works to slow down the aging process and ward off diseases, all while bringing balance to your physical system. Moreover, it actively enhances intellectual capabilities, bolstering memory and promoting excellence. To reap its benefits, consider integrating it into a milk-based diet. The suggested regimen for this formula is threefold, with durations of seven weeks, three weeks, and one week, considered maximum, medium, and minimum respectively. The dosage is also flexible, with options for 40 gms, 20 gms, and 10 gms, allowing for a personalized approach to its consumption."
916,"Specific characters according to the source and the method of administration will be explained now. The rocky ores of gold etc., when heated by the sun ooze a material like lac, soft, smooth and clear. This is shilajatu. Shilajatu obtained from gold ore is sweet, slightly bitter, having color like japa flower, pungent in vipaka and sheeta veerya. That obtained from silver ore is pungent, white, cold and sweet in vipaka. Shilajatu obtained from copper ore is like peacock neck, bitter, hot and pungent in vipaka. That which is like gugguluka is the best of all.","Shilajatu, a material of great significance in ancient medical practices, is known for its unique characteristics that vary based on its source and the method of extraction. When rocky ores of gold are exposed to the heat of the sun, they release a substance akin to lac, known as shilajatu. This form is characterized by its sweet and slightly bitter taste, a color similar to that of a japa flower, and pungent and cool properties. On the other hand, shilajatu derived from silver ores is recognized by its pungent taste, white color, cold nature, and sweet vipaka or post-digestive effect. Extracted from copper ores, shilajatu is identified by its bitter taste, resemblance to a peacock's neck, hot properties, and pungent vipaka. However, the form that is considered the best among all is the one that is similar to gugguluka in its properties."
917," All types of shilajatu smell like cow urine and are applicable in all conditions. However, in the use of Rasayana, the last one is preferred, the above types of shilajatu are useful in vata-pitta, kapha-pitta, kapha and tridosha respectively. [55-61]","Shilajatu, a revered substance in Ayurvedic medicine, is often identified by its distinct scent, reminiscent of cow urine. While it is universally applicable, its usage varies based on an individual's dosha composition. For those with a Vata-Pitta imbalance, the first type of Shilajatu is recommended, while the second type is preferred for Kapha-Pitta imbalance. The third type, with its more balanced properties, is suitable for Kapha predominant individuals. Interestingly, for those with a Tridoshic constitution, the last type of Shilajatu is considered most beneficial. Despite its peculiar smell, Shilajatu's versatility and potential health benefits make it a valuable addition to Ayurvedic practices."
918,"One should avoid vidahi and heavy substances particularly horse gram during consumption of shilajatu. Horse gram, due to exceedingly contradictory nature, breaks the stones as seen in the practice that is why its use is contraindicated. Milk, buttermilk, meat soup, vegetables soups, water, urine and various decoctions are used for dissolving shilajatu according to the object.","When it comes to consuming shilajatu, a powerful ayurvedic supplement, it's important to be mindful of what you eat alongside it. Specifically, it's advised to avoid vidahi (toxins) and heavy substances such as horse gram. This is because horse gram has a contradictory nature that can actually break down kidney stones, making its use counterproductive when taking shilajatu. Instead, opt for lighter fare such as milk, buttermilk, meat soup, vegetable soups, water, urine, or various decoctions to help dissolve shilajatu according to your specific needs. By being mindful of these guidelines, you can ensure that you're getting the most out of your shilajatu supplement and supporting your overall health and wellbeing."
919,There is no disease in the world which is not overcome by shilajatu. It also provides great energy to the healthy person if used methodically as prescribed.  [62-65],"Shilajatu, a powerful ayurvedic substance, has been touted for its remarkable ability to overcome diseases, making it a staple in traditional medical practices. Its potential goes beyond just treating illnesses, as it also offers immense energy benefits to those who use it judiciously and according to prescribed methods. This age-old remedy, with its wide range of uses and benefits, continues to intrigue modern medical researchers, positioning itself as a promising alternative therapy for many ailments."
920,Now the summing up verses –  In the quarter on hand plucked amalaki fruits sixteen Rasayana formulations have been described by the great sages. [66],"The ancient texts of Ayurveda have provided us with a wealth of knowledge, and one such contribution is the description of 16 Rasayana formulations, as documented in the quarter section of the text. These formulations were revealed by the great sages, who had the profound understanding and insights into the healing properties of various herbs and fruits. Among these revered ingredients is the amalaki fruit, which is considered a powerful rejuvenator and holds a special place in these formulations. The summing up verses that describe these 16 formulations serve as a valuable resource for those seeking to understand and explore the traditional Indian system of medicine, Ayurveda."
921,Thus ends the third quarter on hand plucked (amalaki fruits) in the chapter on Rasayana in Chikitsa Sthana in the treatise composed by Agnivesha and redacted by Charak. [3],"Wrapping up the third quarter of the discourse on amalaki fruits in the Rasayana chapter of Chikitsa Sthana, the treatise initially penned by Agnivesha and later revised by Charak, marks a significant milestone. This section has provided valuable insights into the medicinal and health benefits of amalaki, emphasizing its importance in the ancient Indian medical system of Ayurveda. As we move forward, the exploration of this fruit's properties and its role in promoting longevity and rejuvenation continues to unfold, reflecting the comprehensive approach to health and well-being in Charak's teachings."
922,"Now we shall expound the fourth quarter ""Ayurvedasamutthaniyam Rasayana Pada"". Thus said Lord Atreya. [1-2]  Note: This section deals with uplifting science of life (Ayurveda).","Dive into the profound teachings of Lord Atreya as we explore the fourth quarter of ""Ayurvedasamutthaniyam Rasayana Pada."" This section, as described by the Lord, focuses on the uplifting science of Ayurveda, shedding light on the practices and principles that promote a healthy and fulfilling life. Prepare to uncover valuable insights and time-tested wisdom that have been passed down through generations, all in the name of nurturing a balanced and rejuvenated body, mind, and spirit."
923,"After listening to the wisdom of the king of gods, all the rishis praised the precepter with incantations and applauded his statement with great pleasure. [5]","In the hallowed halls of the divine realm, the wise rishis gathered together in reverence after hearing the profound words of the king of gods. Their voices raised in ancient incantations, they praised the sage who had spoken with such wisdom and clarity. A wave of applause followed, filled with great pleasure and awe at the knowledge that had been shared. The air was thick with admiration and respect for the preceptor who had revealed the secrets of the universe in a single statement."
924,Here are the verses –  The therapeutic impact of divine herbs can be sustained only by the individuals like you and not by those with uncontrolled self. By the effect of these herbs you will attain all desired merits while on your normal duties. The herbs growing in sacred lands can be utilized by forest dwellers as well as by householders as duly prescribed with self restraint. [8-10],"The therapeutic power of divine herbs is a gift that can be harnessed for personal growth and self-improvement, but only by those who can exercise self-control and discipline. These sacred plants, growing in protected lands, offer a multitude of benefits to those who use them wisely, whether they are forest dwellers or householders. By adhering to the proper guidelines and using these herbs in moderation, one can enjoy their healing effects and gain all the desired merits, even while carrying out their daily tasks and responsibilities. So, let us cherish and respect this gift from nature and use it to better ourselves and our communities."
925,"These divine herbs produce milder effect in case of different habitat, subject and mode of administration through the method of intake in the same for all. The individuals with luxurious living who are unable to search or use these herbs should resort to the other methods of Rasayana which are described below. [11-12]","The effectiveness of these sacred healing herbs is subject to change based on various factors such as their natural habitat, manner of usage, and the individual consuming them. It is important to note that the potency of these herbs may vary from person to person, depending on their lifestyle and accessibility to these resources. For those who lead indulgent lives and find it challenging to acquire or utilize these herbs, other Rasayana methods are available for your perusal. These alternative methods are described in detail in the following sections, providing valuable insights for those seeking holistic wellness through the practice of Rasayana."
926,"Ten herbs of strength promoting, vitality promoting, bulk promoting and age sustaining groups, khadira, beejaka, kharjura, madhuka, musta, utpala, mridveeka,  vidanga, vacha, chitraka, shatavari, payasya, pippali, aguru, riddhi, nagabala, shaka, dhava, triphala, kanthakari, vidari, chandana, ikshu, roots of shara, gambhari and tinisha – juice of all these drugs and palasha kshara should be taken in the quantity of 40 gms each.","Discover the power of ancient wisdom with this concoction of ten herbs that promote strength, vitality, and longevity. The list includes khadira, beejaka, kharjura, madhuka, musta, utpala, mridveeka, vidanga, vacha, chitraka, shatavari, payasya, pippali, aguru, riddhi, nagabala, shaka, dhava, triphala, kanthakari, vidari, chandana, ikshu, roots of shara, gambhari, and tinisha. The juice of these drugs, combined with the alkaline extract of palasha (Butea monosperma), is recommended in a quantity of 40 grams each, to experience the rejuvenating benefits. Ayurveda suggests that regular consumption of these herbs can help maintain youthfulness, improve physical endurance, and enhance overall well-being."
927,"Cow milk four times, tila oil and cow ghee each 5.12 kg, should be added to it and cooked together. After it is well cooked, the fatty preparation should be brought down. 2.56 kg each of amalaka powder impregnated hundred times with amalaka juice, fresh honey and powdered sugar 640 gms each of vamshalochana and pippali should be mixed together well. ","The preparation of this traditional Ayurvedic formula requires precise measurements and combinations of natural ingredients. Specifically, four portions of cow milk, 5.12 kg each of cow ghee and til (sesame) oil are to be cooked together until well combined. Once cooked, the mixture undergoes a process to bring down the fatty preparation. Then, begins the blending of the remaining ingredients - amalaka powder soaked in amalaka juice one hundred times, fresh honey, powdered sugar (640 gms each), vamshalochana and pippali. These components must be mixed together thoroughly to create this ayurvedic concoction."
928,"The preparation should be kept in a well cleansed earthen pot smeared with ghee for a fortnight. Then the dose as per the digestive capacity should be used mixing it with powder of gold, copper, coral, iron, quartz, pearl, cats eye, conch and silver in 1/16 quantity. During the period of medication the patient should avoid exertion and sexual intercourse and should take diet of shashtika rice along with ghee extracted from milk after the previous meal is digested.","The preparation of this ancient medicinal concoction requires careful attention to detail, beginning with the vessel in which it is stored. An earthen pot, thoroughly cleansed and smeared with ghee, is the ideal choice, and should be allowed to sit undisturbed for a fortnight. Once this period has passed, it's time to prepare the doses, which should be carefully measured out based on each individual's digestive capacity. To this, one must add powdered forms of gold, copper, coral, iron, quartz, pearl, cats eye, conch, and silver, all in equal proportions of 1/16. Throughout the course of treatment, patients must avoid any strenuous activity or sexual intercourse, and instead focus on maintaining a healthy diet. Specifically, shashtika rice cooked in milk and ghee is recommended, to be consumed only once the previous meal has been fully digested."
929," This Rasayana remedy relieves all diseases, is aphrodisiac, excellent enhancer of life span, provides strength to psyche, memory, physique, digestive fire, intellect and senses, promotes energy, complexion, and voice, alleviates poison and inauspiciousness and renders the words truthful. ","In the realm of ancient Ayurveda, there exists a remarkable Rasayana remedy that boasts of an extraordinary range of health benefits. Renowned for its disease-relieving properties, this remedy also serves as a potent aphrodisiac, enhancing not only one's libido but also improving overall vitality. As an excellent enhancer of lifespan, it provides strength to both the psyche and physique, promoting longevity and overall well-being.

Furthermore, this Rasayana remedy works wonders for the digestive system, igniting the digestive fire and improving cognitive functions such as memory and intellect. Its rejuvenating properties promote energy, enhance complexion and voice, and even protect against poison and inauspiciousness. Remarkably, it also has the power to render one's words truthful, making it a truly holistic approach to health and wellness."
930," This intellect promoting and broad spectrum Rasayana formulation should be used properly by those who desire success, youthfulness, charming personality and social image. [13-26]","The Rasayana formulation is a powerful intellectual enhancer that promotes success, youthfulness, and charm. Those who seek to improve their social image and overall well-being would do well to incorporate this broad-spectrum remedy into their lives. However, it is important to use it correctly and follow proper guidelines to reap its full benefits. With consistent use, this formulation can help individuals achieve their goals while exuding a radiant and youthful appearance, making it a must-try for anyone seeking to enhance their personal and professional life."
931,"The indoor regimen of Rasayana therapy is prescribed for those who are fit, disease free, wise, self controlled, leisurely and are wealthy otherwise the outdoor method of vatatapika rasayana therapy is advisable. The former kind of regimen is, no doubt superior but is difficult to operate. If during the treatment some complications arise due to faulty methods, better treatment is planned after discontinuing the initial course of Rasayana therapy. [27-29]","In the ancient Indian practice of Rasayana therapy, two types of regimens are followed - indoor and outdoor. The indoor method, also known as Aindra Rasayana, is recommended for individuals who are healthy, disease-free, wise, self-controlled, and affluent. This method is considered superior due to its intensive and focused approach, but it is also more challenging to execute. On the other hand, the outdoor method, known as Vatatapika Rasayana, is advised for those who do not meet the criteria for the indoor method. However, if any complications arise during the indoor treatment due to improper methods, it is necessary to discontinue the course and plan a better treatment strategy. This highlights the importance of careful execution and monitoring in the indoor method of Rasayana therapy."
932,"An individual who is truthful, free from anger, abstaining from wine and women, non violent, relaxed, calm, soft spoken, engaged in meditation and cleanliness, perseverance, observing charity, penance, worshiping gods, cow, brahmanas, gurus, preceptors and elders, loving and compassionate, is vigilant and sleeps in balanced way, consumes routinely ghee extracted from milk, considering the measure of place and time with propriety, un-conceited, well behaved, simple, with his senses well concentrated to spirituality, keeping company of elders, positivist, self restrained and devoted to holy books should be regarded as using the Rasayana for ever.","To be considered as constantly partaking in the Rasayana therapy, an individual must embody a number of admirable qualities. Honesty and integrity should form the foundation of their character, while a peaceful demeanor devoid of anger or malice should be evident in their interactions with others. A commitment to temperance, including abstaining from alcohol and intimate relationships, is also essential. Non-violence, meditation, and cleanliness are important practices to cultivate, as is a sense of calmness and a soft-spoken nature. Engaging in charitable activities, practicing self-discipline and penance, and worshiping gods, cows, brahmanas, gurus, preceptors, and elders with devotion are all key aspects of this holistic approach to well-being. Demonstrating love and compassion towards all beings, maintaining vigilance and a balanced sleep schedule, consuming ghee made from milk in moderation, and surrounding oneself with wise company are also crucial elements of this ancient regimen. Above all, a commitment to simple living, humility, and studying sacred texts with a sense of reverence can help one to embody the true spirit of Rasayana."
933," Those, who, endowed with all the auspicious qualities, consumes Rasayana, gets all the aforesaid benefits of Rasayana treatment. [30-35]","In the realm of ancient Ayurvedic medicine, Rasayana holds a esteemed position, promising rejuvenation and longevity to its consumers. Those individuals fortunate enough to possess favorable qualities can fully access these benefits. By embracing Rasayana treatment, they set themselves on a path towards improved health and overall well-being. The auspicious effects include enhanced cognitive function, strengthened immunity, and a more balanced physical state, ensuring that their journey in life is both healthful and rewarding."
934,"An individual can never get the benefits of Rasayana if he has not undergone grossly the process of samsodhana of his physical as well as mental impurities. The treatment meant for providing longevity and for relieving senility and disease succeed in persons having purified mind and body controlled self. Such a treatment should not be prescribed to those who have degenerate self, are disease free, are not twice born and who are reluctant to receive such a treatment. [36-38]","Achieving the full advantages of Rasayana therapy requires an individual to first undergo the purification process of samsodhana, which targets both physical and mental impurities. This is because the treatment for prolonging life, alleviating senility, and curing diseases is most effective in those who possess a pure mind and body, and who have achieved self-control. Conversely, such treatment should not be recommended for those with degenerate selves, who are free from disease, are not ""twice born,"" and who show reluctance to undergo this transformative therapy. By prioritizing samsodhana, one can lay the foundation for a successful and fruitful Rasayana experience, ultimately leading to a healthier and more fulfilling life."
935,"The Rasayana preparations, vajikarana recipes and remedies designed for the treatment of diseases – all depend on (vision and skill of) the physician. Hence the wise should honour with all means the treating physician who promotes life, is wise and well versed in the science of life as the king of gods honours Ashwins.  Ashwins are the physicians of gods and carriers of sacrifices. ","The Rasayana preparations and Vajikarana recipes, serving as the backbone of medical treatments and disease management, lie in the hands of a skilled physician. The proficiency of these remedials directly correlates to the vision and expertise of the healer, making them a figure deserving of great respect and admiration. Paralleling the esteemed role of Ashwins, the divine physicians to the gods, the human equivalent tends to the ailments of mortals, promoting life and preserving health through their deep understanding of the science of life. Thus, it is only fitting to honor such a physician with the same reverence bestowed upon the king of gods honoring Ashwins, recognizing their invaluable contribution to our wellbeing."
936,The head of sacrifice was cut which was joined by Ashwins. ,"In the ancient practice of sacrifice, it was believed that offerings made to the divine would ensure prosperity and fertility for the land and its people. Among the many symbols and rituals that comprised this custom, one notable act involved the beheading of a sacrificial animal, known as the ""head of sacrifice."" According to Indian mythology, this grisly task was often performed by the divine twins, known as the Ashwins, who were revered for their strength and skill. Together, they would sever the head in a single, swift motion, in hopes that the offering would be accepted and bring forth blessings upon the community."
937,"The fallen teeth of Pushan, destroyed eyes of Bhaga and the spastic arm of Vajrina were treated by them and thus he, addicted to soma drink, was again made happy. ","In ancient Indian mythology, the celestial being known as Dhanvantari was revered for his extraordinary healing abilities. Among his most renowned feats was the restoration of the fallen teeth of Pushan, the blinded eyes of Bhaga, and the spastic arm of Vajrina. Such was his devotion to the healing arts that he himself was an addict of the divine elixir, soma. Through his selfless acts of restoration, Dhanvantari brought happiness back to these afflicted deities, cementing his status as a symbol of healing and compassion in ancient texts."
